1746201084618.000000,0.378128,-0.582087,0.843317,0.024422,-0.123308,-0.128798
1746201084724.000000,0.376753,-0.579248,0.844690,0.022764,-0.119179,-0.127796
1746201084824.000000,0.375620,-0.577105,0.846113,0.029192,-0.116287,-0.127076
1746201084925.000000,0.374509,-0.574705,0.848116,0.028077,-0.119927,-0.127984
1746201085025.000000,0.373239,-0.572636,0.849484,0.028497,-0.121910,-0.127481
1746201085125.000000,0.372522,-0.570909,0.850897,0.025225,-0.113780,-0.128158
1746201085225.000000,0.371321,-0.569521,0.852357,0.031023,-0.122381,-0.126577
1746201085326.000000,0.370200,-0.568323,0.853638,0.030727,-0.119222,-0.127493
1746201085426.000000,0.368903,-0.567437,0.854779,0.034205,-0.116815,-0.128134
1746201085526.000000,0.367612,-0.567143,0.855782,0.028673,-0.115134,-0.125731
1746201085627.000000,0.366658,-0.567497,0.857014,0.022047,-0.115349,-0.127198
1746201085727.000000,0.366217,-0.568160,0.858711,0.025212,-0.120611,-0.125971
1746201086138.000000,0.365820,-0.568679,0.859104,0.026863,-0.124586,-0.125711
1746201086141.000000,0.364430,-0.573373,0.861609,0.023575,-0.114282,-0.129149
1746201086241.000000,0.363588,-0.574402,0.862194,0.022974,-0.117113,-0.126052
1746201086342.000000,0.361070,-0.576981,0.862517,0.008960,-0.107398,-0.128165
1746201086442.000000,0.361293,-0.575597,0.859994,0.000820,-0.097017,-0.130522
1746201086720.000000,0.361400,-0.575316,0.859805,-0.003610,-0.095419,-0.129409
1746201086723.000000,0.362430,-0.572822,0.856584,-0.005346,-0.091865,-0.133057
1746201086823.000000,0.374462,-0.549759,0.841427,0.000890,-0.091761,-0.133801
1746201086923.000000,0.381346,-0.537281,0.835823,0.003758,-0.092330,-0.132252
1746201087024.000000,0.389416,-0.523621,0.831205,0.005863,-0.094491,-0.127587
1746201087124.000000,0.398944,-0.507766,0.826018,-0.000033,-0.097937,-0.127672
1746201087224.000000,0.409408,-0.491743,0.821473,0.005837,-0.091585,-0.124678
1746201087324.000000,0.420564,-0.474582,0.816770,0.005570,-0.093750,-0.120458
1746201087425.000000,0.432863,-0.455473,0.811768,0.005045,-0.101305,-0.117031
1746201087525.000000,0.444916,-0.436889,0.806792,0.011150,-0.105135,-0.114689
1746201087625.000000,0.458869,-0.415003,0.801361,0.011072,-0.102239,-0.112052
1746201088084.000000,0.459809,-0.413076,0.800727,0.010425,-0.105736,-0.115884
1746201088088.000000,0.484721,-0.373191,0.789625,0.018338,-0.102380,-0.117411
1746201088239.000000,0.487560,-0.368602,0.788427,0.010889,-0.101905,-0.115534
1746201088289.000000,0.552565,-0.254107,0.758241,0.030126,-0.105820,-0.130730
1746201088389.000000,0.566969,-0.229374,0.751643,0.029714,-0.104456,-0.129678
1746201088489.000000,0.580823,-0.206470,0.744526,0.029716,-0.110525,-0.130950
1746201088589.000000,0.594903,-0.183812,0.736415,0.022003,-0.113027,-0.133123
1746201088690.000000,0.610002,-0.160354,0.727404,0.023731,-0.113943,-0.137750
1746201088790.000000,0.624651,-0.137919,0.718244,0.023950,-0.111776,-0.148947
1746201088890.000000,0.639688,-0.115562,0.708955,0.032835,-0.118409,-0.156661
1746201088990.000000,0.655614,-0.092404,0.698636,0.014764,-0.118171,-0.169995
1746201089091.000000,0.671235,-0.070018,0.688439,0.029100,-0.117257,-0.180682
1746201089191.000000,0.687934,-0.046993,0.678901,0.027607,-0.114917,-0.186986
1746201089291.000000,0.703860,-0.024467,0.669826,0.021960,-0.119081,-0.202279
1746201089391.000000,0.719933,-0.003002,0.661328,0.029203,-0.120311,-0.213991
1746201089492.000000,0.736465,0.019388,0.652757,0.034778,-0.122571,-0.230801
1746201089753.000000,0.737238,0.020376,0.652650,0.030631,-0.120457,-0.228553
1746201089759.000000,0.738518,0.022076,0.651981,0.028703,-0.124592,-0.230827
1746201089856.000000,0.780212,0.074138,0.632719,0.021859,-0.118573,-0.271079
1746201090029.000000,0.780837,0.075019,0.632280,0.026225,-0.121322,-0.274382
1746201090056.000000,0.808523,0.106122,0.619364,0.024882,-0.119384,-0.302956
1746201090156.000000,0.864325,0.160950,0.595338,0.014540,-0.128256,-0.365792
1746201090257.000000,0.885789,0.179186,0.587155,0.014995,-0.125233,-0.389544
1746201090357.000000,0.906882,0.195920,0.579162,0.005453,-0.121355,-0.412384
1746201090457.000000,0.927247,0.210993,0.571188,0.002783,-0.132296,-0.432399
1746201090558.000000,0.948033,0.225373,0.563754,-0.006952,-0.125494,-0.457393
1746201090658.000000,0.968519,0.238525,0.555924,-0.008993,-0.120096,-0.481187
